sample,library,date,fastq_R1,notes
RSV-F-LibA-250402-Nir-26,RSV-F-LibA,20250402,/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibA-250402-RSVF-TIM1-Nir-26_S29_L002_R1_001.fastq.gz,
RSV-F-LibA-250402-Nir-520,RSV-F-LibA,20250402,/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibA-250402-RSVF-TIM1-Nir-520_S31_L002_R1_001.fastq.gz,
RSV-F-LibA-250402-Nir-7,RSV-F-LibA,20250402,/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibA-250402-RSVF-TIM1-Nir-7_S28_L002_R1_001.fastq.gz,
RSV-F-LibA-250404-NoAntibody,RSV-F-LibA,20250404,/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibA-250404-RSVF-TIM1-Nir-0_S41_L002_R1_001.fastq.gz,
RSV-F-LibA-250404-Nir-1300,RSV-F-LibA,20250404,/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibA-250404-RSVF-TIM1-Nir-1300_S45_L002_R1_001.fastq.gz,
RSV-F-LibA-250404-Nir-130,RSV-F-LibA,20250404,/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibA-250404-RSVF-TIM1-Nir-130_S42_L002_R1_001.fastq.gz,
RSV-F-LibA-250404-Nir-2600,RSV-F-LibA,20250404,/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibA-250404-RSVF-TIM1-Nir-2600_S46_L002_R1_001.fastq.gz,
RSV-F-LibA-250404-Nir-260,RSV-F-LibA,20250404,/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibA-250404-RSVF-TIM1-Nir-260_S43_L002_R1_001.fastq.gz,
RSV-F-LibA-250404-Nir-520,RSV-F-LibA,20250404,/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibA-250404-RSVF-TIM1-Nir-520_S44_L002_R1_001.fastq.gz,
RSV-F-LibB-250402-NoAntibody,RSV-F-LibB,20250402,/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibB-250402-RSVF-TIM1-Nir-0_S32_L002_R1_001.fastq.gz,
RSV-F-LibB-250402-Nir-104,RSV-F-LibB,20250402,/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibB-250402-RSVF-TIM1-Nir-104_S35_L002_R1_001.fastq.gz,
RSV-F-LibB-250402-Nir-26,RSV-F-LibB,20250402,/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibB-250402-RSVF-TIM1-Nir-26_S34_L002_R1_001.fastq.gz,
RSV-F-LibB-250402-Nir-520,RSV-F-LibB,20250402,/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibB-250402-RSVF-TIM1-Nir-520_S36_L002_R1_001.fastq.gz,
RSV-F-LibB-250402-Nir-7,RSV-F-LibB,20250402,/shared/ngs/illumina/cabel/20250411_LH00740_0066_A232Y5WLT3/Unaligned/CS_Lib_250404/LibB-250402-RSVF-TIM1-Nir-7_S33_L002_R1_001.fastq.gz,
RSV-F-LibA-250505-TIM1-func-concat,RSV-F-LibA,20250505,/shared/ngs/illumina/sharari/250520_VH00319_565_222CTF7NX/Unaligned/Project_sharari/LibA-250505-RSVF-TIM1-func-1H20_S2_R1_001.fastq.gz;/shared/ngs/illumina/sharari/250520_VH00319_565_222CTF7NX/Unaligned/Project_sharari/LibA-250505-RSVF-TIM1-func-1H_S1_R1_001.fastq.gz;/shared/ngs/illumina/sharari/250520_VH00319_565_222CTF7NX/Unaligned/Project_sharari/LibA-250505-RSVF-TIM1-func-3H_S3_R1_001.fastq.gz,
RSV-F-LibA-250505-TIM1-VSV-concat,RSV-F-LibA,20250505,/shared/ngs/illumina/sharari/250520_VH00319_565_222CTF7NX/Unaligned/Project_sharari/LibA-250505-RSVF-VSV-TIM1-1_S6_R1_001.fastq.gz;/shared/ngs/illumina/sharari/250520_VH00319_565_222CTF7NX/Unaligned/Project_sharari/LibA-250505-RSVF-VSV-TIM1-2_S7_R1_001.fastq.gz,
RSV-F-LibA-250526-NoAntibody,RSV-F-LibA,20250526,/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibA-250526-RSVF-TIM1-NoAb_S1_L001_R1_001.fastq.gz,
RSV-F-LibA-250526-Cles-1,RSV-F-LibA,20250526,/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibA-250526-RSVF-TIM1-Cles1_S10_L001_R1_001.fastq.gz,
RSV-F-LibA-250526-Cles-2,RSV-F-LibA,20250526,/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibA-250526-RSVF-TIM1-Cles2_S11_L001_R1_001.fastq.gz,
RSV-F-LibA-250526-Cles-3,RSV-F-LibA,20250526,/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibA-250526-RSVF-TIM1-Cles3_S12_L001_R1_001.fastq.gz,
RSV-F-LibB-250526-TIM1-VSV-concat,RSV-F-LibB,20250526,/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250526-RSVF-VSV-TIM1-1_S2_L001_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250526-RSVF-VSV-TIM1-2_S3_L001_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250526-RSVF-VSV-TIM1-3_S4_L001_R1_001.fastq.gz,
RSV-F-LibB-250526-TIM1-func-concat,RSV-F-LibB,20250526,/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250526-RSVF-TIM1-Func1_S5_L001_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250526-RSVF-TIM1-Func2_S6_L001_R1_001.fastq.gz,
RSV-F-LibB-250530-TIM1-VSV-concat,RSV-F-LibB,20250530,/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250530-RSVF-VSV-TIM1-1_S22_L001_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250530-RSVF-VSV-TIM1-2_S23_L001_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250530-RSVF-VSV-TIM1-3_S24_L001_R1_001.fastq.gz,
RSV-F-LibB-250530-TIM1-func-concat,RSV-F-LibB,20250530,/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250530-RSVF-TIM1-Func1_S19_L001_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250530-RSVF-TIM1-Func2_S20_L001_R1_001.fastq.gz;/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250530-RSVF-TIM1-Func3_S21_L001_R1_001.fastq.gz,
RSV-F-LibB-250526-Cles-1,RSV-F-LibB,20250526,/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250526-RSVF-TIM1-Cles1_S16_L001_R1_001.fastq.gz,
RSV-F-LibB-250526-Cles-2,RSV-F-LibB,20250526,/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250526-RSVF-TIM1-Cles2_S17_L001_R1_001.fastq.gz,
RSV-F-LibB-250526-Cles-3,RSV-F-LibB,20250526,/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250526-RSVF-TIM1-Cles3_S18_L001_R1_001.fastq.gz,
RSV-F-LibB-250530-Nir-1,RSV-F-LibB,20250530,/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250530-RSVF-TIM1-Nir1_S25_L001_R1_001.fastq.gz,
RSV-F-LibB-250530-Nir-2,RSV-F-LibB,20250530,/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250530-RSVF-TIM1-Nir2_S26_L001_R1_001.fastq.gz,
RSV-F-LibB-250530-Nir-3,RSV-F-LibB,20250530,/shared/ngs/illumina/cabel/20250605_LH00740_0092_A233WJGLT3/Unaligned/CS_Lib_250530/LibB-250530-RSVF-TIM1-Nir3_S27_L001_R1_001.fastq.gz,
